,alpha,beta,loss,x,y
685,-0.6,0.5,38.75194775695801,-41.94810485839844,29.768251419067383
686,-0.6,0.55,47.85314144592285,-40.96078872680664,32.32583236694336
687,-0.6,0.6,57.772968927001955,-39.97038269042969,34.73723602294922
688,-0.6,0.65,68.83981375427246,-38.9815673828125,37.008216857910156
689,-0.6,0.7,81.40300546875,-37.99835968017578,39.144527435302734
690,-0.6,0.75,96.21158135986329,-37.02436828613281,41.15306854248047
691,-0.6,0.8,113.49049067382812,-36.06257247924805,43.04009246826172
692,-0.6,0.85,133.42686215820314,-35.11555099487305,44.812477111816406
693,-0.6,0.9,155.84759875488282,-34.18513870239258,46.4764404296875
694,-0.6,0.95,180.50749063720704,-33.2730827331543,48.038787841796875
695,-0.6,1.0,206.95986677246094,-32.38059616088867,49.505619049072266
696,-0.6,1.05,234.2708432373047,-31.508647918701172,50.8828125
697,-0.6,1.1,261.83430334472655,-30.657817840576172,52.17625427246094
698,-0.6,1.15,288.2356349609375,-29.82864761352539,53.391353607177734
699,-0.6,1.2,313.2093176513672,-29.021278381347656,54.532989501953125
700,-0.55,-1.25,13.377495948028564,-34.02345275878906,-96.16250610351562
701,-0.55,-1.2,14.239559447479248,-35.000240325927734,-94.07003784179688
702,-0.55,-1.15,15.585812404632568,-35.987586975097656,-91.83998107910156
703,-0.55,-1.1,18.034318112182618,-36.98173141479492,-89.46530151367188
704,-0.55,-1.05,21.629301747131347,-37.97846221923828,-86.93903350830078
705,-0.55,-1.0,25.933050036621093,-38.97257614135742,-84.25550079345703
706,-0.55,-0.95,31.944594772338867,-39.958351135253906,-81.40895080566406
707,-0.55,-0.9,41.986708374023436,-40.92938995361328,-78.3959732055664
708,-0.55,-0.85,56.5012853881836,-41.87833023071289,-75.213623046875
709,-0.55,-0.8,75.9827584411621,-42.797523498535156,-71.86079406738281
710,-0.55,-0.75,101.6346039428711,-43.67826843261719,-68.3393325805664
711,-0.55,-0.7,127.98153500976562,-44.51178741455078,-64.65257263183594
712,-0.55,-0.65,131.24834161376953,-45.2890625,-60.807125091552734
713,-0.55,-0.6,119.34046639404296,-46.00078201293945,-56.81153869628906
714,-0.55,-0.55,83.6540037109375,-46.637977600097656,-52.67828369140625
715,-0.55,-0.5,50.694907733154295,-47.19209289550781,-48.42198181152344
716,-0.55,-0.45,25.027038204956053,-47.6552848815918,-44.06022644042969
717,-0.55,-0.4,9.306302170562745,-48.02079772949219,-39.613250732421875
718,-0.55,-0.35,4.722482296180725,-48.28353500366211,-35.103248596191406
719,-0.55,-0.3,3.0238667590141297,-48.43910217285156,-30.553956985473633
720,-0.55,-0.25,2.712299986934662,-48.485748291015625,-25.99040985107422
721,-0.55,-0.2,2.7662228322982787,-48.422760009765625,-21.437747955322266
722,-0.55,-0.15,2.918785402202606,-48.25157928466797,-16.92103385925293
723,-0.55,-0.1,3.1332674362182615,-47.975486755371094,-12.464110374450684
724,-0.55,-0.05,3.9059542757034302,-47.59894561767578,-8.089330673217773
725,-0.55,0.0,5.935392416000366,-47.12863540649414,-3.816946029663086
726,-0.55,0.05,8.315089170074463,-46.57109832763672,0.3352113366127014
727,-0.55,0.1,10.618608089447022,-45.934940338134766,4.352272987365723
728,-0.55,0.15,12.161088719940185,-45.228843688964844,8.22204875946045
729,-0.55,0.2,12.723774423217774,-44.46156311035156,11.935245513916016
730,-0.55,0.25,14.230775646209716,-43.6424446105957,15.485504150390625
731,-0.55,0.3,16.527075691223146,-42.78004455566406,18.868980407714844
732,-0.55,0.35,19.93071376953125,-41.8829460144043,22.08397102355957
733,-0.55,0.4,25.304386975097657,-40.959205627441406,25.131193161010742
734,-0.55,0.45,32.58049986877442,-40.01599884033203,28.01280403137207
735,-0.55,0.5,41.283400674438475,-39.060264587402344,30.732585906982422
736,-0.55,0.55,51.10368851013184,-38.097816467285156,33.29537582397461
737,-0.55,0.6,62.01984588012695,-37.13398742675781,35.70671844482422
738,-0.55,0.65,74.6058212524414,-36.17347717285156,37.973228454589844
739,-0.55,0.7,89.52285989990234,-35.220176696777344,40.101585388183594
740,-0.55,0.75,107.1884671508789,-34.27753448486328,42.098793029785156
741,-0.55,0.8,127.7092237915039,-33.348175048828125,43.971981048583984
742,-0.55,0.85,150.94394995117187,-32.43458557128906,45.72829818725586
743,-0.55,0.9,176.41643074951173,-31.538463592529297,47.37474060058594
744,-0.55,0.95,203.53526428222656,-30.661365509033203,48.918128967285156
745,-0.55,1.0,231.19176794433594,-29.804340362548828,50.36481475830078
746,-0.55,1.05,259.02533115234377,-28.968069076538086,51.72117233276367
747,-0.55,1.1,285.4465525878906,-28.153350830078125,52.99345397949219
748,-0.55,1.15,310.4202941650391,-27.360204696655273,54.1866455078125
749,-0.55,1.2,334.14654658203125,-26.588876724243164,55.306705474853516
750,-0.5,-1.25,12.120290180206299,-31.103363037109375,-97.12190246582031
751,-0.5,-1.2,12.781846642303467,-32.042327880859375,-95.04264831542969
752,-0.5,-1.15,13.572495051574707,-32.9931755065918,-92.822509765625
753,-0.5,-1.1,14.792210150909424,-33.95242691040039,-90.45364379882812
754,-0.5,-1.05,16.83610828857422,-34.916038513183594,-87.92890930175781
755,-0.5,-1.0,19.90343180541992,-35.87919998168945,-85.2412109375
756,-0.5,-0.95,23.932858949279787,-36.83631896972656,-82.38482666015625
757,-0.5,-0.9,30.22172080535889,-37.78108596801758,-79.35489654541016
758,-0.5,-0.85,40.50807236022949,-38.706382751464844,-76.14804077148438
759,-0.5,-0.8,54.81197483520508,-39.60462188720703,-72.76287841796875
760,-0.5,-0.75,72.77852692260743,-40.467124938964844,-69.19993591308594
761,-0.5,-0.7,97.10230681152343,-41.28535842895508,-65.46286010742188
762,-0.5,-0.65,105.41907115478516,-42.04975509643555,-61.557682037353516
763,-0.5,-0.6,93.36583106689453,-42.75133514404297,-57.493343353271484
764,-0.5,-0.55,62.19008072509766,-43.3807258605957,-53.28209686279297
765,-0.5,-0.5,33.633148666381835,-43.92918395996094,-48.93971252441406
766,-0.5,-0.45,13.785153506469726,-44.38874435424805,-44.48430633544922
767,-0.5,-0.4,6.279771378326416,-44.75264358520508,-39.93748474121094
768,-0.5,-0.35,3.128859923458099,-45.01490783691406,-35.322792053222656
769,-0.5,-0.3,2.4688897015571594,-45.17156219482422,-30.665790557861328
770,-0.5,-0.25,2.35875106420517,-45.220237731933594,-25.993152618408203
771,-0.5,-0.2,2.514188573551178,-45.16063690185547,-21.331844329833984
772,-0.5,-0.15,2.741334345626831,-44.99401092529297,-16.708791732788086
773,-0.5,-0.1,3.068217886257172,-44.723670959472656,-12.149557113647461
774,-0.5,-0.05,4.601086669921875,-44.35432434082031,-7.678043365478516
775,-0.5,0.0,7.068325062179565,-43.89240264892578,-3.3157737255096436
776,-0.5,0.05,8.971598458099365,-43.34547424316406,0.9185416102409363
777,-0.5,0.1,9.78266773223877,-42.72154235839844,5.009062767028809
778,-0.5,0.15,9.870127556610107,-42.029693603515625,8.94340705871582
779,-0.5,0.2,10.530183723831177,-41.279083251953125,12.712196350097656
780,-0.5,0.25,12.465653493499756,-40.478599548339844,16.30891990661621
781,-0.5,0.3,15.560634645080567,-39.637351989746094,19.730173110961914
782,-0.5,0.35,20.35348812789917,-38.763736724853516,22.97481346130371
783,-0.5,0.4,26.944946189880373,-37.8657112121582,26.04399871826172
784,-0.5,0.45,35.02931943664551,-36.950592041015625,28.94068145751953
785,-0.5,0.5,44.62517111206055,-36.02477264404297,31.669132232666016
786,-0.5,0.55,55.42322174682617,-35.09434509277344,34.23512268066406
787,-0.5,0.6,68.14873594970703,-34.16416931152344,36.64488220214844
788,-0.5,0.65,83.24383640136719,-33.238975524902344,38.90562438964844
789,-0.5,0.7,101.2383559387207,-32.32212829589844,41.02449035644531
790,-0.5,0.75,122.39773236083984,-31.417139053344727,43.0093994140625
791,-0.5,0.8,146.37280697021484,-30.52645492553711,44.86797332763672
