,communication_round,participant,loss,acc,norm
710,63.0,6.0,4.885513247397482,0.8829931972789116,114.31458282470703
711,63.0,7.0,5.00547445100137,0.8815884476534296,114.32466888427734
712,63.0,8.0,4.902036413715192,0.8913467794404685,114.17784881591797
713,63.0,9.0,6.716293798338643,0.867231638418079,114.44697570800781
714,63,g,8.57572360461653,0.8389,114.5033187866211
715,64.0,0.0,4.828198193220978,0.8923904688700999,114.38692474365234
716,64.0,1.0,8.4570206934092,0.8387755102040816,114.44000244140625
717,64.0,2.0,7.036589459369057,0.8596491228070176,114.40685272216797
718,64.0,3.0,5.930818172287765,0.8730529595015576,114.28815460205078
719,64.0,4.0,7.103031941042602,0.8759541984732825,114.46446228027344
720,64.0,5.0,6.990012917151818,0.8733727810650888,114.41312408447266
721,64.0,6.0,4.644025969121801,0.8938775510204081,114.31694793701172
722,64.0,7.0,5.109556410889333,0.8758122743682311,114.33051300048828
723,64.0,8.0,4.535055241882607,0.8945998698763825,114.16554260253906
724,64.0,9.0,7.336898841426871,0.864406779661017,114.44023895263672
725,64,g,8.28397818899152,0.842,114.4850845336914
726,65.0,0.0,5.045679462588264,0.897770945426595,114.39251708984375
727,65.0,1.0,8.500626676909778,0.8408163265306122,114.40133666992188
728,65.0,2.0,6.478720845883353,0.875,114.4325180053711
729,65.0,3.0,5.533247499688995,0.8792834890965732,114.25150299072266
730,65.0,4.0,6.8148487838952025,0.8645038167938931,114.44436645507812
731,65.0,5.0,6.8298115115193925,0.8792899408284024,114.42610931396484
732,65.0,6.0,4.4055682349316525,0.8945578231292517,114.26263427734375
733,65.0,7.0,4.913580015850411,0.8815884476534296,114.30086517333984
734,65.0,8.0,4.493000238377627,0.900455432661028,114.19349670410156
735,65.0,9.0,6.459477273757848,0.8771186440677966,114.45124816894531
736,65,g,8.016847334087567,0.8469,114.47059631347656
737,66.0,0.0,4.672908911195327,0.8985395849346657,114.36894226074219
738,66.0,1.0,8.528397309187115,0.8408163265306122,114.4170913696289
